"6572GJM","VF34A5FXC55047239","11/14/2008","PEUGEOT","308 3P SPORT 1.6 THP 150CV","GASOLINA","","1.2","","GRIS SHARK","1000","11700,00","11500,00","1","EXP. PUERTO","CDVO","PARTICULAR","07/14/2010","12 MESES"," PINTURA METALIZADA","58734"
"7035GHN","VF3WA8HZC34526096","09/23/2008","PEUGEOT","207 3P URBAN 1.4 HDI 70CV","DIESEL","70","1.4","3P","BLANCO BANQUISE","117000","7500,00","7100,00","1","EXP. PUERTO","CDVO","PARTICULAR","06/18/2010","12 MESES"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD AIRBAG LATERAL","74793"
"9852FTL","VF36DRHRH21645275","07/26/2007","PEUGEOT","407 ST SPORT 2.0 HDI 136CV","DIESEL","136","2.0","4P","GRIS ALUMINIO","166600","9500,00","9000,00","1","EXP. CADIZ","CDVO","PARTICULAR","06/18/2010","12 MESES"," ANTINIEBLA ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL AIRBAG CONDUCTOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD PINTURA METALIZADA LLANTAS","74799"
"1882FZJ","VF36D9HZC21688679","01/18/2008","PEUGEOT","407 CONFORT 1.6 HDI 110CV","DIESEL","110","1.6","4P","GRIS ALUMINIO","99100","10500,00","10000,00","1","EXP. CADIZ","CDVO","PARTICULAR","06/18/2010","12 MESES"," ANTINIEBLA ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD PINTURA METALIZADA","74802"
"5842GSB","VF34C9HZC9Y088732","11/30/2009","PEUGEOT","308 5P SPORT 1.6 HDI 110","DIESEL","110","1.6","5P","GRIS HURRICANE","3000","15500,00","15500,00","1","EXP. PUERTO","CDVO","PARTICULAR","07/14/2010","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO ANTINIEBLA CIERRE CENTRALIZADO CLIMATIZADOR AIRE ACONDICIONADO ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","69637"
"7270DNW","VF32D9HZA44692730","08/09/2005","PEUGEOT","206 CC 1.6 HDI 110 ","DIESEL","110","1.6","2P","GRIS ACERO","72300","8500,00","7900,00","1","EXP. JEREZ","PARTICULAR","PARTICULAR","03/17/2011","12 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO ASIENTO ELECTRICO RADIO CD LLANTAS PINTURA METALIZADA","43097"
"4452GFX","VF34C5FWC55049966","06/30/2008","PEUGEOT","308 5P CONFORT 1.6 VTI 120CV","GASOLINA","120","1.6","5P","GRIS SHARK","37400","10900,00","10500,00","1","EXP. JEREZ","CDVO","PARTICULAR","07/13/2010","12 MESES"," PINTURA METALIZADA CLIMATIZADOR ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL INMOVILIZADOR CIERRE CENTRALIZADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","59030"
"7472GTG","VF3WC8HZC9E074447","02/09/2010","PEUGEOT","207 5P CONFORT HDI70","DIESEL","70","1.4","5P","ROJO ERYTHREE","13300","11400,00","11100,00","1","EXP. PUERTO","KM0","PARTICULAR","03/22/2011","24 MESES"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL AIRE ACONDICIONADO DIRECCION ASISTIDA CONTROL VELOCIDAD ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA CIERRE CENTRALIZADO","70081"
"7495GMB","VF3WC8FSC34507627","04/30/2009","PEUGEOT","207 5P CONFORT 1.4 16V VTI","GASOLINA","95","1.4","5P","GRIS ALUMINIO","8100","10000,00","9700,00","1","EXP. JEREZ","CDVO","PARTICULAR","07/14/2010","24 MESES"," PINTURA METALIZADA AIRE ACONDICIONADO ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","64834"
"6459GVL","VF3PNCFAC88407463","03/31/2010","PEUGEOT","107 1.0I URBAN 68CV 5P","GASOLINA","68","1.0","5P","AMARILLO CITRUS","6200","8900,00","8700,00","1","EXP. CADIZ","KM0","PARTICULAR","07/14/2010","24 MESES"," GOIB PACK ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG CONDUCTOR CIERRE CENTRALIZADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA AIRE ACONDICIONADO","70371"
